Contrato;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Preço contratual;Preço total efetivo;Entidade adjudicante (NIF);Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Incrementos superiores a 15%
20;2008-08-14;1970-01-01;2008-09-29;61;6.3601;6.3601;501121528;226962032;46;0
21;2008-08-14;1970-01-01;1970-01-01;3;5.6111;0.0;507012100;504551221;48;0
22;2008-08-18;1970-01-01;1970-01-01;2;15.1848;0.0;501457399;980218764;50;0
23;2008-08-18;1970-01-01;1970-01-01;3;10.6654;0.0;507718666;500754071;52;0
24;2008-08-18;1970-01-01;1970-01-01;2;14.31156;0.0;501457399;501488421;53;0
25;2008-08-18;1970-01-01;2008-09-19;30;7.6;7.6;502246308;508288479;55;0
26;2008-08-18;1970-01-01;1970-01-01;1;5.325;0.0;506676056;500246963;57;0
27;2008-08-18;2008-08-06;2008-12-10;4;24.71999;24.71999;680033548;503291137;59;0
29;2009-06-17;1970-01-01;1970-01-01;2;16.39584;0.0;501457399;980262364;60;0
30;2008-08-18;1970-01-01;1970-01-01;120;6.07531;0.0;504807692;500183872;62;0
31;2008-08-18;1970-01-01;1970-01-01;120;42.0108;0.0;504807692;500183872;62;0
32;2008-08-18;1970-01-01;1970-01-01;120;17.82977;0.0;504807692;500183872;62;0
33;2008-08-18;1970-01-01;1970-01-01;120;34.82504;0.0;504807692;500183872;62;0
34;2008-08-18;1970-01-01;1970-01-01;120;10.13076;0.0;504807692;504277499;63;0
35;2009-06-17;1970-01-01;1970-01-01;120;14.2555;0.0;504807692;500302081;64;0
36;2008-08-19;1970-01-01;1970-01-01;8;39.48;0.0;505932512;109612477;66;0
37;2008-08-12;1970-01-01;1970-01-01;1;9.75;0.0;501272968;507240502;68;0
38;2008-08-19;1970-01-01;1970-01-01;120;36.30235;0.0;504807692;502745789;69;0
39;2008-08-19;1970-01-01;1970-01-01;5;6.65707;0.0;501178708;504455133;71;0
40;2008-08-19;1970-01-01;1970-01-01;30;55.0188;0.0;501178708;501299980;72;0
41;2008-08-19;1970-01-01;1970-01-01;30;6.93;0.0;501178708;125067690;73;0
42;2008-08-19;1970-01-01;1970-01-01;30;7.5375;0.0;501178708;504544446;74;0
43;2008-08-19;1970-01-01;1970-01-01;10;71978.0;0.0;600075079;501432507;76;0
44;2008-08-19;1970-01-01;1970-01-01;120;6.19411;0.0;504807692;503800317;77;0
45;2008-08-19;1970-01-01;1970-01-01;1;8.45;0.0;506873412;507505603;79;0
46;2008-08-19;1970-01-01;1970-01-01;10;18.0;0.0;505170876;506398137;81;0
47;2008-08-19;1970-01-01;1970-01-01;11;20.4;0.0;505170876;504050826;82;0
48;2008-08-18;1970-01-01;1970-01-01;75;39.6;0.0;501380574;502982314;84;0
49;2008-08-19;1970-01-01;1970-01-01;10;8.738;0.0;506791220;503213764;86;0
50;2008-08-19;1970-01-01;1970-01-01;75;25.0;0.0;501380574;503631701;87;0
51;2008-08-19;1970-01-01;1970-01-01;15;14.0;0.0;505187531;508528631;89;0
52;2008-08-19;1970-01-01;1970-01-01;15;14.5;0.0;505187531;508528631;89;0
53;2008-08-20;1970-01-01;1970-01-01;365;21.64193;0.0;508590582;501432507;76;0
54;2008-08-20;1970-01-01;1970-01-01;1;9.6;0.0;506772527;508695198;92;0
55;2008-08-14;1970-01-01;1970-01-01;13;9.2;0.0;506579425;504994301;94;0
56;2008-08-20;1970-01-01;1970-01-01;10;39.5;0.0;505187531;506517527;95;0
