Contrato;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Preço contratual;Preço total efetivo;Entidade adjudicante (NIF);Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Incrementos superiores a 15%
328;04/09/2008;0;0;12;12.6725;0.0;506563774;503841285;183;0
329;05/09/2008;0;0;60;10.2375;0.0;501305912;505049457;413;0
330;03/09/2008;0;0;1;5.35;0.0;502130040;504447971;414;0
331;04/09/2008;0;0;10;7.68461;0.0;600000125;500092354;415;0
332;05/09/2008;0;0;31;9.2;0.0;505187531;504899376;416;0
333;05/09/2008;0;0;120;9.0;0.0;506452654;215457080;418;0
334;05/09/2008;0;0;20;24.7296;0.0;501305912;500217904;419;0
335;05/09/2008;0;0;7;4.403;0.0;500086826;502559594;421;0
336;05/09/2008;0;0;365;16.326;0.0;506791220;505296713;302;0
337;05/09/2008;02/09/2008 00:00;0;122;9.5;0.0;500051062;502536870;423;0
338;05/09/2008;0;0;11;23.4;0.0;500792887;500636630;424;0
339;05/09/2008;0;0;5;4.32;0.0;507012100;145728811;425;0
340;05/09/2008;0;0;1;1.47;0.0;503539473;500886113;121;0
341;05/09/2008;0;0;2;10.7783;0.0;503539473;505134195;427;0
342;05/09/2008;0;0;1;80000.0;0.0;503539473;154474916;428;0
343;05/09/2008;0;0;30;6.19;0.0;500086826;502559594;421;0
344;05/09/2008;0;0;30;8.53;0.0;500086826;502559594;421;0
345;05/09/2008;0;0;5;7.5;0.0;501273433;503046647;430;0
346;05/09/2008;0;23/03/2009 00:00;56;36.713;36.71296;505584760;505141019;4;0
347;05/09/2008;0;0;30;7.29;0.0;500086826;502559594;421;0
348;05/09/2008;0;0;45;33.0;0.0;500086826;503336041;433;0
349;05/09/2008;0;0;30;10.6;0.0;500086826;504862642;434;0
350;05/09/2008;0;0;8;7.2;0.0;506812820;500352623;435;0
351;05/09/2008;20/08/2008 00:00;04/09/2008 00:00;1;5.1;5.1;501258027;216254833;437;0
353;05/09/2008;22/08/2008 00:00;29/10/2008 00:00;15;6.7;6.7;505410850;502020121;439;0
355;05/09/2008;0;0;8;13.8;0.0;600070247;505107686;442;0
356;05/09/2008;03/09/2009 00:00;05/09/2009 00:00;1;15.42845;15.42845;506641376;502594381;444;0
357;06/08/2008;0;0;84;49.83;0.0;501294104;502721871;446;0
359;05/09/2008;0;0;30;7.0;0.0;680015019;508449502;450;0
360;05/09/2008;0;0;15;11.0735;0.0;506829260;503399531;452;0
